order_id,customer_id,item_name,dueDateTime,status,assignee,order_placement_date
B-ORD-20078,B-2027,Label Maker,2024-11-20,pending,rwong,2025-08-11
B-ORD-20079,B-2026,Shredder,2025-04-11,shipped,dpatel,24-May-2025
B-ORD-20080,B-2042,Sticky Notes (Pack),2025-12-07,delivered,,22-Mar-2024
B-ORD-20081,B-2020,Shredder,2025-07-03T19:30:00,cancelled,abrown,2024-05-22
B-ORD-20082,B-2033,Shredder,2024-09-20T03:49:00,shipped,mklein,2025-09-02
B-ORD-20083,B-9983,Filing Cabinet,2024-07-04T03:16:00,cancelled,abrown,22-Nov-2025
B-ORD-20084,B-2036,Monitor Stand,2024-12-17T11:01:00,shipped,rwong,2025-06-13
B-ORD-20085,B-2056,Shredder,2025-04-17T11:30:00,delivered,jsantos,03/12/2025
,B-9986,USB Hub,2024-02-22T23:15:00,cancelled,mklein,2024-12-04
B-ORD-20087,B-2037,Ink Cartridge - Black,2025-11-22,pending,rwong,04/26/2025
B-ORD-20088,B-2055,Shredder,2024-02-19T17:11:00,pending,rwong,2025-04-07
B-ORD-20089,B-2039,Monitor Stand,2024-07-19,cancelled,mklein,09/21/2025
B-ORD-20090,B-2025,Filing Cabinet,2025-02-08T03:11:00,pending,abrown,10/19/2024
B-ORD-20091,B-2045,Binder Clips (Box),2024-12-21T17:10:00,pending,mklein,07/14/2024
B-ORD-20092,B-2004,Label Maker,2025-07-18T13:43:00,delivered,rwong,06/01/2025
B-ORD-20093,B-2059,Binder Clips (Box),2025-05-06,delivered,abrown,04/10/2024
B-ORD-20094,B-2022,Shredder,01/25/2025,open,,09/27/2025
B-ORD-20095,B-2025,Label Maker,2024-02-15,cancelled,,01/15/2025
B-ORD-20096,B-2050,Label Maker,2024-04-26T18:22:00,cancelled,abrown,2024-07-06
B-ORD-20097,B-2023,Binder Clips (Box),2024-11-27,open,jsantos,19-May-2025
B-ORD-20098,B-2010,Shredder,2025-11-13,delivered,rwong,2025-04-05
B-ORD-20099,B-2060,Envelopes (Box),2025-06-15T10:37:00,open,,02/13/2025
B-ORD-20100,B-2054,Whiteboard,2024-04-14T15:17:00,shipped,jsantos,2024-06-28
B-ORD-20101,B-2039,USB Hub,2024-08-01T05:28:00,delivered,mklein,06/22/2024
B-ORD-20102,B-2051,Filing Cabinet,2025-05-03,open,rwong,05/06/2025
B-ORD-20103,B-2059,Copy Paper (Case),2024-04-16T04:37:00,delivered,dpatel,2024-04-14
,B-2009,Ink Cartridge - Color,2024-07-03T03:20:00,shipped,mklein,07/23/2024
B-ORD-20105,B-2010,Monitor Stand,2024-01-20,pending,rwong,11/22/2024
B-ORD-20106,B-2018,Monitor Stand,2025-12-13,pending,jsantos,2024-02-04
B-ORD-20107,B-2048,Desk Lamp,2025-01-28,pending,,2025-10-24
B-ORD-20108,B-2020,USB Hub,2024-10-03T11:59:00,delivered,,08/13/2024
B-ORD-20109,B-2042,Shredder,2024-02-01T00:16:00,open,,06-Nov-2025
